388-04-0354,Smart,ultrices,Fortwo,2008,8205.3,59
807-08-4367,Aptera,sit,Type-1h,2010,8091.66,26
817-71-9454,Chevrolet,id consequat,Sportvan G20,1992,9429.5,78
481-84-1063,GMC,ante,Savana Cargo Van,2006,4551.44,100
998-30-9126,Volvo,in,S40,2007,7900.21,86
429-67-7337,Dodge,fusce posuere,Ram 2500,1995,67.27,79
353-01-2805,Holden,mattis,VS Commodore,1995,9866.33,63
054-87-6248,Ford,arcu,Explorer,1999,711.44,25
030-04-0223,Nissan,odio,Sentra,2010,6154.31,82
219-48-4212,Porsche,tortor risus,911,1997,3592.53,22
970-57-8522,Chevrolet,mollis molestie,Malibu,2010,6669.14,6
976-58-1809,Chevrolet,nullam,Suburban 1500,1992,5529.54,80
881-16-3642,Chevrolet,pede,Corvette,1968,9252.77,62
413-09-0168,Dodge,porttitor,Dakota Club,1997,6831.67,63
278-23-8880,Nissan,sed ante,Datsun/Nissan Z-car,1990,6216.54,58
229-33-4533,Ford,pellentesque,Thunderbird,2003,9426.23,62
678-67-7770,Buick,a,Park Avenue,1995,8773.93,60
273-31-4772,Land Rover,cubilia curae,Discovery,2007,5257.71,9
793-98-7924,Mazda,eget orci,Tribute,2002,8111.37,92
667-43-7529,Ford,cras mi,Expedition,2001,6181.09,9
619-71-0946,Volkswagen,ut,Jetta,1988,6135.5,59
651-00-7375,Mitsubishi,ligula sit,Truck,1996,9460.29,95
396-42-7655,Ford,nunc nisl,Escape,2009,2011.59,23
717-43-6628,Pontiac,consequat,G5,2007,3399.15,48
355-12-8318,Oldsmobile,aliquet,LSS,1997,3840.27,35
381-64-4221,Volkswagen,varius,rio,2000,3486.06,11
625-24-7671,BMW,eros,5 Series,1999,7737.49,12
926-44-4880,Dodge,scelerisque,Dakota,2001,4098.92,10
137-45-1790,Suzuki,quam suspendisse,Vitara,2002,1019.56,93
924-45-3277,Plymouth,rutrum,Laser,1991,9415.68,46
704-62-5940,Oldsmobile,accumsan,Cutlass,1998,6450.1,7
287-22-3937,GMC,sem praesent,Canyon,2009,8972.69,54
698-25-5667,Honda,duis bibendum,CR-V,2009,7734.74,48
602-53-1783,Chevrolet,turpis,Tahoe,2013,7154.33,64
519-21-4209,GMC,ipsum,Yukon,2000,4145.35,41
573-78-0692,Ford,mus,Explorer,2006,2785.96,73
930-67-2365,GMC,pede,Vandura 3500,1992,4189.44,86
945-67-5181,Nissan,in,NV1500,2012,4221.17,29
790-01-9443,Chevrolet,metus,Tahoe,2006,297.16,93
024-92-4072,Oldsmobile,erat,Bravada,1998,8596.43,13
147-94-3397,Buick,vulputate,LeSabre,1994,7135.3,32
079-37-5992,Buick,id turpis,Riviera,1997,3547.6,52
072-65-9784,Volvo,id justo,S80,2009,1190.24,10
016-08-4225,Dodge,orci vehicula,Ram Van 3500,1995,9417.43,72
258-83-7532,Infiniti,blandit,QX,2009,3260.63,96
375-75-5846,Lexus,dui maecenas,LS,1993,162.14,87
a,a,a,a,1,1,1
